mrun,distancia,p_prioritario,simce_let,simce_mat,cod_nivel,prioridad_h,es_mujer,prioritario,alto_rendimiento,tipo,alt
6177181,7.6061,0,287,330,9,0,0,0,1,mun & no_conv,0
6177181,15.5692,0,274,305,9,0,0,0,1,no_mun & conv,0
6177181,16.5565,0,306,341,9,0,0,0,1,mun & conv,1
6406465,0.40412,0,263,272,9,0,0,0,0,no_muni & no_conv,0
6406465,3.8092,0,287,330,9,0,0,0,0,mun & no_conv,1
6406465,1.5531,0,237,239,9,0,0,0,0,no_mun & conv,0
6406465,0.81983,0,235,209,9,0,0,0,0,mun & conv,0
6478762,5.1435,0.014286,268,282,9,0,1,0,1,no_muni & no_conv,1
6478762,2.2499,0,328,374,9,0,1,0,1,mun & no_conv,0
6478762,3.1972,0,271,277,9,0,1,0,1,no_mun & conv,0
6478762,1.2165,0,294,327,9,0,1,0,1,mun & conv,0
6635327,0.89485,0.052632,250,276,7,0,1,0,1,no_muni & no_conv,0
6635327,2.6514,0.15556,262,259,7,0,1,0,1,mun & no_conv,0
6635327,1.6837,0,229,271,7,0,1,0,1,no_mun & conv,1
6635327,1.5794,0.058333,550,550,7,0,1,0,1,mun & conv,0
6963063,5.1588,0,265,304,11,0,0,0,0,no_muni & no_conv,1
6963063,4.636,0,297,313,11,0,0,0,0,mun & no_conv,0
6963063,1.9019,0,262,279,11,0,0,0,0,no_mun & conv,0
6963063,9.8248,0,292,337,11,0,0,0,0,mun & conv,0
7152952,4.9607,0,265,304,11,0,0,0,0,no_muni & no_conv,1
7152952,5.9393,0,218,208,11,0,0,0,0,mun & no_conv,0
7152952,2.8478,0,257,295,11,0,0,0,0,no_mun & conv,0
7152952,3.7564,0,256,302,11,0,0,0,0,mun & conv,0
7197036,3.8209,0,273,314,7,1,1,1,0,no_muni & no_conv,0
7197036,4.3573,0.15789,287,330,7,1,1,1,0,mun & no_conv,0
7197036,4.0849,0,269,285,7,1,1,1,0,no_mun & conv,1
7197036,4.8126,0,550,550,7,1,1,1,0,mun & conv,0
7257720,0.53016,0,252,298,2,0,0,1,0,no_muni & no_conv,0
7257720,0.63217,0,550,550,2,0,0,1,0,mun & no_conv,1
7257720,1.6977,0,270,334,2,0,0,1,0,no_mun & conv,0
7257720,2.2596,0,550,550,2,0,0,1,0,mun & conv,0
7287653,2.7666,0.0074074,227,220,9,0,1,1,0,no_muni & no_conv,0
7287653,2.9842,0,297,313,9,0,1,1,0,mun & no_conv,0
7287653,0.5112,0,231,219,9,0,1,1,0,no_mun & conv,1
7287653,1.9902,0,236,228,9,0,1,1,0,mun & conv,0
7567591,15.1267,0,273,314,9,0,1,0,0,no_muni & no_conv,0
7567591,14.4323,0,287,330,9,0,1,0,0,mun & no_conv,0
7567591,0.26453,0,244,267,9,0,1,0,0,no_mun & conv,1
7567591,0.83258,0,227,214,9,0,1,0,0,mun & conv,0
7677663,5.001,0.15476,322,350,7,0,1,1,0,no_muni & no_conv,0
7677663,0.19446,0.15556,262,259,7,0,1,1,0,mun & no_conv,1
7677663,3.594,0,242,272,7,0,1,1,0,no_mun & conv,0
7677663,2.1449,0.058333,550,550,7,0,1,1,0,mun & conv,0
7725962,3.1031,0.0074074,227,220,9,0,0,1,0,no_muni & no_conv,0
7725962,3.3154,0,297,313,9,0,0,1,0,mun & no_conv,0
7725962,0.29159,0,231,219,9,0,0,1,0,no_mun & conv,1
7725962,1.625,0,236,228,9,0,0,1,0,mun & conv,0
7782524,1.7521,0,295,291,9,0,0,0,0,no_muni & no_conv,0
7782524,7.3048,0,328,374,9,0,0,0,0,mun & no_conv,0
7782524,0.94039,0,275,306,9,0,0,0,0,no_mun & conv,1
7782524,3.205,0,210,222,9,0,0,0,0,mun & conv,0
7812928,2.6838,0,261,278,11,0,1,1,0,no_muni & no_conv,1
7812928,2.8728,0,286,318,11,0,1,1,0,mun & no_conv,0
7812928,1.8331,0,271,296,11,0,1,1,0,no_mun & conv,0
7812928,7.1919,0,265,292,11,0,1,1,0,mun & conv,0
7908976,1.3902,0,278,299,8,0,1,0,0,no_muni & no_conv,0
7908976,1.8976,0,286,318,8,0,1,0,0,mun & no_conv,1
7908976,0.92581,0,260,256,8,0,1,0,0,no_mun & conv,0
7908976,5.7109,0,265,292,8,0,1,0,0,mun & conv,0
8027350,18.4698,0,278,301,7,0,1,0,1,no_muni & no_conv,0
8027350,2.4747,0.15333,328,374,7,0,1,0,1,mun & no_conv,1
8027350,4.728,0,294,338,7,0,1,0,1,no_mun & conv,0
8027350,3.2568,0,296,333,7,0,1,0,1,mun & conv,0
8115611,5.2344,0,257,310,9,0,0,1,0,no_muni & no_conv,0
8115611,3.3134,0,219,213,9,0,0,1,0,mun & no_conv,0
